fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
4100000,2,0,6,1,19,0,0,0,0,39
0,1,1,2,0,1,0,0,0,0,25
0,1,0,1,0,0,0,0,0,0,25
0,1,1,7,0,120,0,0,0,0,25
86735191,5,1,6,2,26,0,0,0,0,51
0,1,1,25,0,22,2,1,1,0,25
0,1,1,8,0,22,0,1,1,0,25
0,1,1,21,0,22,0,1,0,1,25
0,2,0,4,0,2,0,1,0,1,25
2000000,1,0,1,1,6,0,0,0,0,25
2000000,1,0,1,1,6,0,0,0,0,25
15000000,2,0,3,4,75,0,0,0,0,25
0,2,1,31,0,0,0,1,0,1,25
11500000,1,1,5,0,2,2,1,0,0,25
9800000,2,1,14,0,1,0,0,0,0,44
57000000,1,1,2,1,2,0,1,0,0,25
4115000,2,0,2,3,10,0,0,0,0,25
203500000,1,0,2,4,55,0,0,1,0,25
203500000,1,0,1,4,55,0,0,0,0,25
203500000,1,0,1,4,55,0,0,0,0,25
203500000,1,0,1,4,55,0,0,0,0,25
203500000,1,0,1,4,55,0,0,0,0,25
2500000,3,0,8,1,3,0,1,0,0,36
60900000,1,0,1,1,47,0,1,0,0,25
60900000,1,1,2,1,47,0,1,0,0,25
6450000,3,1,7,0,1,2,0,0,0,25
63000000,2,1,16,0,4,0,0,0,0,25
0,1,0,1,1,3,0,0,0,0,25
0,1,0,10,0,0,0,0,0,0,25
0,1,0,4,0,0,0,0,0,0,25
12282455,4,1,19,0,6,0,1,0,0,25
0,1,1,11,0,0,0,0,0,0,25
0,1,1,4,0,16,1,0,0,0,25
0,1,1,7,0,16,0,0,0,0,25
8000000,2,1,5,0,35,0,1,0,0,25
8900000,4,1,5,0,36,4,1,1,0,25
8000000,2,1,8,0,35,3,1,1,1,44
26000000,1,1,8,1,11,0,0,0,1,25
0,2,1,10,0,42,0,1,0,0,25
13770000,1,0,1,1,5,0,0,0,0,25
13770000,1,0,1,1,5,0,0,0,0,25
13770000,1,0,1,1,5,0,0,0,0,25
13770000,1,0,1,1,5,0,0,0,0,25
0,1,0,1,0,0,0,0,0,0,25
1000000,2,1,11,1,10,7,0,0,0,25
1000000,1,0,6,1,10,0,0,0,0,25
1000000,1,0,7,1,10,0,0,0,0,25
35513000,4,1,11,5,20,0,0,0,0,25
56300000,1,0,1,5,144,0,0,0,0,25
5000000,1,1,6,6,7,0,0,0,0,25
46000000,1,0,1,1,17,0,0,0,0,25
15500000,1,1,2,1,10,0,0,0,0,25
15500000,1,0,1,1,10,0,0,0,0,25
0,1,1,7,0,0,0,0,0,0,25
0,3,1,12,0,0,9,0,0,0,61
12743716,2,1,9,1,15,1,1,0,0,36
7000000,1,0,2,2,5,0,0,0,1,25
0,1,1,10,0,0,17,0,1,0,25
12931223,12,1,16,0,4,11,0,0,0,25
40400000,1,0,1,0,23,0,0,0,0,25
7500000,1,0,2,2,7,0,0,0,0,25
7500000,1,0,1,2,7,0,0,0,0,25
7500000,1,0,2,2,7,0,0,0,0,25
70000000,1,0,2,2,101,1,1,0,0,25
70000000,1,1,4,2,101,0,0,0,0,35
70000000,1,1,3,2,101,2,0,0,0,25
199300000,1,0,3,5,54,2,0,0,0,25
199300000,1,1,3,5,54,0,0,0,0,25
206121421,1,1,2,5,293,0,1,0,0,25
206121421,1,0,1,5,293,0,0,0,0,25
0,1,1,6,0,6,0,0,0,0,25
0,1,1,8,0,6,0,1,0,1,25
21921435,2,1,4,1,18,0,1,1,0,25
7000000,1,0,1,1,18,0,0,0,0,25
0,3,0,5,0,0,1,0,0,0,25
1600000,1,0,1,1,5,0,0,0,0,25
11610454,2,0,2,1,4,0,1,0,0,25
